symbol,date,calendarYear,period,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare
AIR,5/31/2024,2024,FY,66.06552707,1.319088319,1.242165242,0.396011396,2.737891738,33.8974359,11.38461538,33.8974359,29.68091168,2491749000,3474549000,53.817473,1.074539221,57.15020642,179.262518,2.094258699,2.094258699,1.498360861,17.09074766,79.69149083,249.967554,0.018581326,0.005578411,0.839300723,0.354402527,4.834235121,2.976226173,3.752314815,0.951965066,0,0,0,0,0.280441495,0.681192661,0.012807797,0.720873786,0.006597956,31.71842547,0.058825922,0.022836005,-24.14672365,922700000,399600000,-238300000,2147500000,375900000,198250000,653600000,66.67557894,46.29116487,142.5884578,5.474268178,7.88487395,2.559814486,0.038914103,0.846153846
AIR,5/31/2023,2023,FY,57.36311239,2.599423631,0.671469741,-0.178674352,1.971181556,31.67435159,24.77233429,31.67435159,8.916426513,1738817000,1988317000,19.27735033,0.8735579,74.62733906,-280.4543548,1.582037121,1.582037121,0.998903291,12.34979503,85.33549356,-320.6962903,0.051874349,-0.003565643,0.271312892,0.16267525,1.549689441,3.123470839,11.95535714,0.259465479,0,0,0,0,0.130652992,1.266094421,0.014820397,1.05734767,0.006782216,43.04112923,0.071001028,0.056601406,-3.81556196,746400000,859600000,363900000,1175700000,307900000,157450000,562300000,60.18236624,35.7026043,129.317761,6.064899452,10.22334385,2.82250479,0.082067146,0.850144092
AIR,5/31/2022,2022,FY,51.12359551,2.210674157,2.112359551,1.626404494,1.502808989,29.05898876,25.69662921,29.05898876,4.769662921,1716632000,1819432000,21.8123507,0.943204396,22.82755319,29.64822107,1.659383277,1.659383277,0.999687912,12.58251729,24.19457447,31.42369603,0.045845586,0.033728836,0.161817303,0.106359997,0.710926694,2.892590465,44.54166667,0.957961783,0,0,0,0,0.076053116,0.230053191,0.009505495,0.52265861,0.004505495,38.01840342,0.066431844,0.054119103,0.141853933,659000000,914800000,467800000,961300000,263100000,141800000,545550000,57.67802198,37.88558535,133.3504778,6.328233658,9.6342711,2.737148047,0.076075399,0.485955056
AIR,5/31/2021,2021,FY,47.20857143,1.022857143,3.005714286,2.682857143,1.48,27.84,24.30285714,27.84,5.52,1489600000,1631400000,41.60893855,0.901531199,14.15969582,15.86368477,1.528735632,1.528735632,0.987350965,11.52932862,15.50760456,17.37380192,0.024033298,0.063037057,0.193144499,0.122231604,1.002120141,2.782066508,17.04,2.272138229,6.71E-05,0.002793296,0,0,0.080405274,0.107414449,0.006838952,0.311294766,0.005567996,25.31240238,0.052605427,0.025284271,-1.835714286,600200000,850600000,371700000,919800000,229900000,159400000,581850000,52.70774073,33.73147341,143.358762,6.924979044,10.82075472,2.546059933,0.036740558,0.322857143
AIR,5/31/2020,2020,FY,59.54022989,0.712643678,-1.037356322,-1.715517241,11.62931034,25.93678161,22.43965517,25.93678161,17.01724138,698784000,964984000,28.17677419,0.337250965,-19.35689751,-11.70492462,0.774190117,0.774190117,0.465725869,11.10453395,-26.73085873,-16.1638861,0.035490223,-0.085434126,0.645801019,0.28037518,3.063291139,3.75541634,4.440860215,-1.455645161,0.015312314,0.431451613,0,0,0.058537759,-0.653739612,0.011389961,0.540045767,0.003523166,20.39320665,0.02268065,0.012670516,-8.45545977,1055600000,780900000,262300000,1402700000,239100000,189700000,573400000,38.96621622,38.7918793,126.1545929,9.367088608,9.409185804,2.893275558,0.02747618,0.67816092
DRS,12/31/2023,2023,FY,10.82758621,0.643678161,0.785440613,0.555555556,1.789272031,8.908045977,3.586206897,8.908045977,1.394636015,5230440000,5260440000,31.13357143,1.850828025,25.51434146,36.072,2.249651613,2.249651613,1.861443737,15.74982036,25.66068293,36.27889655,0.032119669,0.027722333,0.141075269,0.08120822,0.089820359,1.779220779,6.916666667,1.220238095,0,0,0.135881104,0.029016277,0.343897004,0.292682927,0.021231423,0.705882353,0.00601557,11.35839248,0.082124011,0.063396226,-1.10440613,840000000,936000000,204000000,2713000000,1048500000,427500000,324000000,136.7781316,66.03181818,54.58409091,2.668555241,5.527638191,6.686930091,0.072258065,0.229885057
DRS,12/31/2022,2022,FY,12.5255814,1.88372093,0.153488372,-0.148837209,1.423255814,9.893023256,3.344186047,9.893023256,1.990697674,2747700000,2835700000,6.784444444,1.02031192,83.26363636,-85.865625,1.291819464,1.291819464,1.052989231,4.544391026,85.93030303,-88.615625,0.147396004,-0.011646104,0.185237424,0.10715257,0.141025641,1.638195777,16.5,0.081481481,0.144120537,0.977777778,0.132565912,0.021537319,0.382920859,1.96969697,0.024136651,1,0.001856665,20.47689275,0.171666572,0.178492728,-1.423255814,665000000,719000000,157000000,2477000000,968500000,468000000,262000000,140.6869662,78.75590179,54.97403211,2.594412331,4.634573304,6.639498433,0.190409027,0.302325581
DRS,12/31/2021,2021,FY,19.85517241,1.062068966,1.227586207,0.813793103,1.655172414,10.9862069,3.24137931,10.9862069,3.620689655,1365900000,1615900000,8.869480519,0.474435568,7.673595506,11.57542373,0.857438795,0.857438795,0.561271275,5.515017065,9.078089888,13.6940678,0.112746175,0.086389926,0.307595731,0.159661127,0.853242321,1.404448938,6.742857143,1.155844156,0,0,0.101771448,0.016672456,0.365917237,0.337078652,0.02084057,1.034482759,0,16.20285349,0.087239558,0.079136691,-3.167241379,400000000,470000000,-87000000,1887000000,894000000,478500000,226000000,113.9753387,74.97212693,32.08619211,3.202447164,4.868475992,11.37560976,0.096672944,0.413793103
DRS,12/31/2020,2020,FY,18.54658344,0.567480055,0.834529492,0.46066028,0.407250392,9.526988684,2.069633141,9.526988684,3.965684147,1460403750,1929403750,17.18122059,0.525703294,11.68323,21.16527174,1.023408374,1.023408374,0.694529788,8.425343886,15.43523,27.96237319,0.058203083,0.047247208,0.371408549,0.179296346,2.048034934,1.295384615,2.828125,1.470588235,0,0,0.10187185,0.014758819,0.377875507,0.448,0.020158387,1.056603774,0,11.02920946,0.070192167,0.046220772,-4.524818907,288000000,310000000,-266000000,1760000000,895500000,507000000,228000000,116.8052556,76.38791594,39.47241681,3.124859393,4.778242678,9.246963563,0.059565522,0.373869213
DRS,12/31/2019,2019,FY,18.71724138,0.517241379,1.082758621,0.703448276,0.586206897,7.027586207,-0.737931034,7.027586207,6.110344828,752550000,1488550000,10.034,0.277284451,4.793312102,7.377941176,0.738518155,0.738518155,0.548470892,7.054739336,9.481210191,14.59362745,0.099661152,0.135539167,0.805691855,0.284279778,3.488151659,1.24975025,2.507692308,2.093333333,0,0,0.102063375,0,0.389889197,0.350318471,0.020265291,1.078431373,0,9.043592406,0.069937071,0.042565267,-6.917241379,250000000,-107000000,-618000000,1629000000,,,,121.3080324,86.75831486,33.82926829,3.00886918,4.207089552,10.78947368,0.07360157,0.379310345
